"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"ITC","EQ","04-Feb-2025","454.35","458.00","460.35","448.75","454.30","455.15","454.39","1,89,23,681","8,59,86,91,176.90","2,19,082","1,08,06,930","57.11"
"ITC","EQ","05-Feb-2025","455.15","455.15","455.85","446.50","448.50","448.15","450.02","1,28,36,283","5,77,65,23,794.20","1,55,466","82,54,209","64.30"
"ITC","EQ","06-Feb-2025","448.15","450.00","450.00","438.20","442.75","441.10","441.65","1,74,69,129","7,71,52,80,524.95","1,64,798","1,00,73,598","57.67"
"ITC","EQ","07-Feb-2025","441.10","440.00","445.50","428.40","430.10","430.85","432.24","1,88,75,982","8,15,88,60,785.30","2,12,183","1,11,01,522","58.81"
"ITC","EQ","10-Feb-2025","430.85","427.00","433.30","426.50","427.70","427.20","428.76","1,22,27,140","5,24,24,93,795.80","1,56,939","81,94,600","67.02"
"ITC","EQ","11-Feb-2025","427.20","428.80","430.55","417.50","418.05","418.30","421.57","1,42,88,751","6,02,37,50,310.80","1,87,384","87,33,094","61.12"
"ITC","EQ","12-Feb-2025","418.30","413.15","413.80","407.60","411.20","409.90","410.36","1,38,84,574","5,69,76,74,234.65","2,07,478","76,71,814","55.25"
"ITC","EQ","13-Feb-2025","409.90","409.95","413.95","409.00","410.00","409.70","411.14","1,29,89,029","5,34,03,10,573.90","1,85,598","85,40,154","65.75"
"ITC","EQ","14-Feb-2025","409.70","411.75","416.20","408.40","410.00","410.25","411.41","1,41,24,236","5,81,08,70,731.00","1,99,616","76,52,472","54.18"
"ITC","EQ","17-Feb-2025","410.25","409.80","411.40","406.75","408.60","408.60","408.96","1,19,75,265","4,89,74,17,889.10","2,85,419","78,52,631","65.57"
