"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"TCS","EQ","04-Feb-2025","4,068.65","4,083.70","4,118.85","4,066.05","4,105.15","4,107.05","4,098.00","25,47,132","10,43,81,41,551.80","1,41,942","18,43,488","72.38"
"TCS","EQ","05-Feb-2025","4,107.05","4,150.00","4,150.00","4,076.00","4,086.00","4,091.10","4,096.29","16,93,912","6,93,87,52,665.75","1,30,235","11,99,334","70.80"
"TCS","EQ","06-Feb-2025","4,091.10","4,105.40","4,139.50","4,051.55","4,087.00","4,082.75","4,080.65","22,84,536","9,32,23,89,842.50","1,83,903","13,96,375","61.12"
"TCS","EQ","07-Feb-2025","4,082.75","4,090.00","4,090.00","4,008.00","4,032.00","4,029.40","4,033.06","15,48,940","6,24,69,65,406.40","1,77,110","9,93,255","64.12"
"TCS","EQ","10-Feb-2025","4,029.40","4,040.00","4,052.00","4,014.35","4,034.00","4,036.95","4,035.26","13,39,511","5,40,52,79,190.45","1,33,697","8,91,261","66.54"
"TCS","EQ","11-Feb-2025","4,036.95","4,018.40","4,040.00","3,955.00","3,967.00","3,963.55","3,989.58","18,10,908","7,22,47,58,107.05","1,21,478","10,10,823","55.82"
"TCS","EQ","12-Feb-2025","3,963.55","3,971.10","4,021.75","3,940.15","3,956.25","3,950.15","3,978.32","16,78,002","6,67,56,28,781.95","1,28,576","8,77,252","52.28"
"TCS","EQ","13-Feb-2025","3,950.15","3,968.00","3,984.45","3,902.25","3,920.00","3,910.15","3,930.80","22,77,310","8,95,16,39,767.60","1,63,030","14,98,339","65.79"
"TCS","EQ","14-Feb-2025","3,910.15","3,925.00","3,948.00","3,900.00","3,928.00","3,934.85","3,921.57","16,81,975","6,59,59,86,554.05","1,63,805","11,23,005","66.77"
"TCS","EQ","17-Feb-2025","3,934.85","3,856.50","3,934.00","3,856.20","3,908.00","3,904.50","3,911.78","17,99,806","7,04,04,39,519.80","1,68,626","12,24,845","68.05"
"TCS","EQ","18-Feb-2025","3,904.50","3,898.40","3,924.40","3,864.50","3,873.00","3,873.20","3,891.66","21,49,879","8,36,65,96,747.55","1,35,773","15,16,041","70.52"
"TCS","EQ","19-Feb-2025","3,873.20","3,872.20","3,874.95","3,768.15","3,785.00","3,784.10","3,796.48","43,66,672","16,57,80,04,180.70","2,29,923","31,34,639","71.79"
"TCS","EQ","20-Feb-2025","3,784.10","3,761.50","3,788.00","3,751.30","3,788.00","3,779.40","3,772.99","28,88,572","10,89,85,64,437.85","1,84,053","21,95,342","76.00"
"TCS","EQ","21-Feb-2025","3,779.40","3,776.10","3,817.00","3,775.00","3,789.90","3,786.00","3,792.04","18,33,931","6,95,43,38,537.80","1,25,392","11,59,950","63.25"
